window_size,classifier,selector,best_parameters,source_file,mean_accuracy,std_accuracy,mean_precision_macro,std_precision_macro,mean_recall_macro,std_recall_macro,mean_f1_macro,std_f1_macro
1,Decision Tree,ANOVA,"{'classifier__max_depth': None, 'feature_selector__k': 5}",CLASSIFIED_bouldering_summary_1_(12_12_11)_in5_out3.tsv,0.43148148148148147,0.12884684286517747,0.4451915368582035,0.168509937795374,0.41891534391534396,0.13777685327106332,0.40237228801470276,0.1383819833231651
1,KNN,ANOVA,"{'classifier__n_neighbors': 1, 'classifier__weights': 'uniform', 'feature_selector__k': 25}",CLASSIFIED_bouldering_summary_1_(12_12_11)_in5_out3.tsv,0.5074074074074074,0.14253245485106564,0.5157231657231657,0.18955829615150677,0.49358465608465607,0.158419573234804,0.4803651961882096,0.15821278679049872
1,Logistic Regression,ANOVA,"{'classifier__C': 10, 'feature_selector__k': 10}",CLASSIFIED_bouldering_summary_1_(12_12_11)_in5_out3.tsv,0.46481481481481485,0.10191916967271863,0.44236494986494984,0.15770521898818715,0.436441798941799,0.11018067932249265,0.4215899652654039,0.12688793593803838
1,Random Forest,ANOVA,"{'classifier__max_depth': None, 'classifier__n_estimators': 3, 'feature_selector__k': 25}",CLASSIFIED_bouldering_summary_1_(12_12_11)_in5_out3.tsv,0.4703703703703704,0.1312595936790322,0.4571560229893563,0.17018790087472732,0.4496693121693122,0.13824062936176906,0.4341254122936269,0.14110953058009332
1,SVM,ANOVA,"{'classifier__C': 10, 'classifier__kernel': 'linear', 'feature_selector__k': 10}",CLASSIFIED_bouldering_summary_1_(12_12_11)_in5_out3.tsv,0.5092592592592592,0.13764878469739356,0.5141380841380842,0.17608711662508017,0.4955026455026455,0.14570926887499372,0.48213621727811606,0.15316024064123368
1,Decision Tree,PCA,"{'classifier__max_depth': 20, 'feature_selector__n_components': 10}",CLASSIFIED_bouldering_summary_1_(12_12_11)_in5_out3.tsv,0.4203703703703704,0.11625441567199636,0.4212942921276255,0.14729431895730785,0.4046957671957672,0.12129544883815357,0.39601681848327874,0.12504988393032662
1,KNN,PCA,"{'classifier__n_neighbors': 1, 'classifier__weights': 'uniform', 'feature_selector__n_components': 25}",CLASSIFIED_bouldering_summary_1_(12_12_11)_in5_out3.tsv,0.45000000000000007,0.09659852856107388,0.45474355891022555,0.14955651196582354,0.4412037037037037,0.11313292249415026,0.4190559982768446,0.11446838925273241
1,Logistic Regression,PCA,"{'classifier__C': 0.5, 'feature_selector__n_components': 10}",CLASSIFIED_bouldering_summary_1_(12_12_11)_in5_out3.tsv,0.39814814814814814,0.10932201587515143,0.32009808093141423,0.1575691757604028,0.3603174603174603,0.11113425684849604,0.3224379995649345,0.12850410476256055
1,Random Forest,PCA,"{'classifier__max_depth': None, 'classifier__n_estimators': 10, 'feature_selector__n_components': 10}",CLASSIFIED_bouldering_summary_1_(12_12_11)_in5_out3.tsv,0.3907407407407408,0.1029236535673352,0.3807034632034633,0.13915873105395613,0.3688492063492063,0.10290378325184056,0.3531019137572286,0.10335132853232679
1,SVM,PCA,"{'classifier__C': 10, 'classifier__kernel': 'rbf', 'feature_selector__n_components': 10}",CLASSIFIED_bouldering_summary_1_(12_12_11)_in5_out3.tsv,0.4055555555555556,0.10844011831079518,0.3647647577549539,0.1605626477151197,0.3881613756613757,0.12293529035596085,0.3391746724332537,0.1272812434809091
